"strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim","result"
927,2015-08-19,81,1385,"crossbreeds","female","commercial",11,1,"culture"
1277,2016-04-13,178,1460,"UK native horse breeds","male","commercial",15,1,"culture and qPCR"
1006,2016-01-14,340,1301,"Non UK native horses","female","private",23,1,"qPCR"
259,2019-01-24,80,1269,"UK native horse breeds","male","other",0.5,1,"qPCR"
610,2015-02-11,75,1478,"UK native horse breeds","male","undefined",5,1,"qPCR"
221,2018-12-20,147,1490,"undefined","male","undefined",NA,1,"culture and qPCR"
1611,2017-05-02,150,1472,"undefined","unreported","undefined",NA,1,"qPCR"
424,2019-09-03,68,1218,"undefined","unreported","undefined",NA,5,"culture and qPCR"
1575,2017-02-16,71,1244,"UK native pony breeds","unreported","undefined",17,1,"culture and qPCR"
1718,2017-12-30,73,1463,"UK native pony breeds","male","undefined",7,1,"culture and qPCR"
1263,2016-04-05,823,1470,"UK native pony breeds","female","commercial",14,1,"culture and qPCR"
1600,2017-03-29,131,1436,"undefined","unreported","undefined",NA,1,"qPCR"
651,2015-03-03,369,1451,"undefined","male","private",NA,1,"qPCR"
1697,2017-11-14,124,1260,"Sports horses","female","commercial",10,1,"qPCR"
1366,2016-06-24,90,1453,"undefined","unreported","commercial",NA,1,"qPCR"
1690,2017-10-25,44,1506,"crossbreeds","male","undefined",16,1,"qPCR"
216,2018-12-17,24,1260,"UK native horse breeds","male","other",NA,1,"qPCR"
1356,2016-06-22,21,1268,"UK native horse breeds","male","commercial",17,1,"qPCR"
862,2015-07-15,760,1233,"UK native horse breeds","male","commercial",NA,1,"qPCR"
1753,2018-03-05,242,1442,"Sports horses","male","undefined",6,1,"culture"
630,2015-02-23,116,1466,"undefined","unreported","undefined",NA,1,"qPCR"
1669,2017-08-23,96,1380,"undefined","unreported","undefined",NA,1,"culture and qPCR"
545,2015-01-06,857,1385,"UK native horse breeds","female","undefined",4,1,"qPCR"
235,2019-01-02,141,1191,"undefined","female","undefined",NA,4,"culture and qPCR"
444,2019-09-23,43,1442,"Sports horses","unreported","commercial",8,1,"culture and qPCR"
1109,2015-12-30,1120,1473,"undefined","unreported","undefined",NA,1,"qPCR"
