"","strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim"
"267",113,2018-06-07,72,1282,"undefined","female","other",NA,1
"268",1661,2017-07-31,121,1269,"UK native pony breeds","female","undefined",NA,1
"269",851,2015-07-07,464,1285,"undefined","unreported","commercial",NA,1
"270",1547,2017-03-02,346,1462,"Non UK native horses","female","undefined",2,1
"271",598,2015-02-03,345,1259,"undefined","unreported","commercial",NA,1
"272",1752,2018-03-05,111,1490,"UK native pony breeds","unreported","commercial",8,1
"273",639,2015-02-25,124,1260,"crossbreeds","unreported","undefined",7.08,1
"274",1154,2016-01-20,28,1292,"UK native pony breeds","male","undefined",11,1
"275",960,2015-09-14,106,1462,"undefined","female","undefined",NA,1
"276",55,2018-08-21,73,1463,"undefined","unreported","undefined",NA,1
"277",302,2019-03-26,66,1218,"crossbreeds","male","undefined",24,4
"278",826,2015-06-26,40,1436,"undefined","unreported","undefined",NA,1
"279",1505,2016-12-08,290,1220,"crossbreeds","male","undefined",4,1
"280",1473,2016-10-24,325,1191,"Sports horses","female","private",7,1
"281",702,2015-04-08,133,1499,"undefined","unreported","undefined",NA,1
"282",1536,2017-01-24,652,1456,"crossbreeds","male","commercial",4,1
"283",445,2019-09-23,43,1442,"Sports horses","male","commercial",12,1
"284",777,2015-05-13,61,1499,"UK native horse breeds","male","commercial",NA,1
"285",326,2019-05-16,27,1428,"undefined","male","undefined",2,5
"286",1056,2015-11-17,435,1522,"undefined","unreported","commercial",4,1
"287",258,2019-01-22,46,1301,"crossbreeds","male","undefined",6,5
"288",484,2019-12-09,90,1453,"undefined","male","undefined",NA,4
"289",209,2018-12-10,54,1259,"undefined","unreported","undefined",NA,4
"290",315,2019-04-16,131,1436,"Sports horses","male","commercial",1,1
"291",394,2019-08-12,143,1190,"crossbreeds","female","undefined",10,1
"292",927,2015-08-19,81,1385,"crossbreeds","female","commercial",11,1
"293",1277,2016-04-13,178,1460,"UK native horse breeds","male","commercial",15,1
"294",1006,2016-01-14,340,1301,"Non UK native horses","female","private",23,1
"295",259,2019-01-24,80,1269,"UK native horse breeds","male","other",0.5,1
"296",610,2015-02-11,75,1478,"UK native horse breeds","male","undefined",5,1
"297",221,2018-12-20,147,1490,"undefined","male","undefined",NA,1
"298",1611,2017-05-02,150,1472,"undefined","unreported","undefined",NA,1
"299",424,2019-09-03,68,1218,"undefined","unreported","undefined",NA,5
"300",1575,2017-02-16,71,1244,"UK native pony breeds","unreported","undefined",17,1
